Episode,RL_Agent,Bot Honest,Bot Challenger,Epsilon
113000,0.00,21.00,78.60,0.080483
113500,0.00,21.80,78.00,0.080307
114000,0.00,18.20,81.40,0.080123
114500,0.00,19.80,79.60,0.079940
115000,0.00,20.60,78.80,0.079765
115500,0.00,21.00,79.00,0.079586
116000,0.00,20.80,78.60,0.079404
116500,0.00,20.60,78.60,0.079211
117000,0.00,21.00,78.40,0.079027
117500,0.00,22.40,77.00,0.078843
118000,0.00,19.60,79.60,0.078660
118500,0.00,17.80,81.20,0.078478
119000,0.00,20.20,79.20,0.078298
119500,0.00,18.00,81.60,0.078119
120000,0.00,19.80,79.40,0.077941
120500,0.00,20.60,79.00,0.077759
121000,0.00,18.60,81.20,0.077580
121500,0.00,24.40,75.40,0.077408
122000,0.00,21.20,77.60,0.077230
122500,0.00,21.40,78.40,0.077062
123000,0.00,18.20,81.20,0.076886
123500,0.00,16.40,83.00,0.076712
124000,0.00,21.60,78.00,0.076542
124500,0.00,20.60,79.20,0.076377
125000,0.00,20.60,79.20,0.076206
125500,0.00,24.60,74.60,0.076028
126000,0.00,22.60,77.00,0.075849
126500,0.00,16.40,83.00,0.075678
127000,0.00,23.40,75.80,0.075496
127500,0.00,27.40,72.20,0.075319
128000,0.00,20.60,78.40,0.075149
128500,0.00,22.40,77.40,0.074975
129000,0.00,18.40,81.40,0.074805
129500,0.00,27.20,72.80,0.074638
130000,0.00,22.80,77.00,0.074468
130500,0.00,22.40,77.40,0.074306
131000,0.00,23.40,76.40,0.074144
131500,0.00,21.20,78.60,0.073983
132000,0.00,21.20,78.60,0.073814
132500,0.00,20.20,79.60,0.073645
133000,0.00,16.00,83.80,0.073468
133500,0.00,18.60,81.40,0.073297
134000,0.00,21.60,78.20,0.073132
134500,0.00,23.20,76.00,0.072959
135000,0.00,21.40,78.20,0.072791
135500,0.00,20.20,79.60,0.072623
136000,0.00,19.00,81.00,0.072467
136500,0.00,20.80,79.00,0.072305
137000,0.00,23.00,76.20,0.072133
137500,0.00,20.80,78.40,0.071967
138000,0.00,22.00,77.80,0.071803
138500,0.00,21.20,78.40,0.071636
139000,0.00,17.00,82.20,0.071473
139500,0.00,20.00,79.00,0.071308
140000,0.00,26.40,73.40,0.071141
140500,0.00,24.40,75.20,0.070984
141000,0.00,22.40,74.20,0.070813
141500,0.00,21.60,77.40,0.070645
142000,0.00,19.40,77.00,0.070474
142500,0.00,21.20,75.20,0.070316
143000,0.00,18.40,80.60,0.070160
143500,0.00,18.80,80.60,0.070009
144000,0.00,18.80,80.40,0.069848
144500,0.00,13.20,84.60,0.069683
145000,0.00,18.20,81.00,0.069525
145500,0.00,17.40,82.00,0.069369
146000,0.00,16.40,82.40,0.069222
146500,0.00,16.20,83.20,0.069080
147000,0.00,20.40,78.40,0.068928
147500,0.00,17.20,82.40,0.068779
148000,0.00,18.60,81.00,0.068631
148500,0.00,21.20,77.60,0.068480
149000,0.00,20.80,78.40,0.068331
149500,0.00,17.60,81.20,0.068182
150000,0.00,19.80,79.20,0.068039
150500,0.00,18.40,79.60,0.067894
151000,0.00,25.00,74.20,0.067753
151500,0.00,17.60,81.20,0.067610
152000,0.00,19.60,78.80,0.067464
152500,0.00,18.00,81.00,0.067326
153000,0.00,16.80,82.20,0.067183
153500,0.00,14.80,84.60,0.067045
154000,0.00,17.20,82.60,0.066910
154500,0.00,17.60,81.60,0.066773
155000,0.00,17.00,82.40,0.066634
155500,0.00,20.40,79.20,0.066499
156000,0.00,19.60,80.20,0.066361
156500,0.00,20.40,78.00,0.066226
157000,0.00,18.60,81.20,0.066090
157500,0.00,20.60,78.20,0.065948
158000,0.00,20.80,78.00,0.065815
158500,0.00,18.40,80.80,0.065679
159000,0.00,15.60,83.60,0.065541
159500,0.00,21.00,78.80,0.065403
160000,0.00,19.00,80.60,0.065265
160500,0.00,18.20,80.60,0.065127
161000,0.00,18.80,80.40,0.064988
161500,0.00,20.00,79.40,0.064854
162000,0.00,22.80,76.60,0.064717
162500,0.00,15.20,84.80,0.064585
163000,0.00,17.40,81.80,0.064452
163500,0.00,18.00,81.00,0.064320
164000,0.00,18.60,80.80,0.064187
164500,0.00,18.00,80.80,0.064053
165000,0.00,18.40,81.40,0.063919
165500,0.00,18.80,81.00,0.063788
166000,0.00,15.20,84.40,0.063661
166500,0.00,17.80,81.60,0.063526
167000,0.00,16.40,82.60,0.063391
167500,0.00,16.80,81.60,0.063256
168000,0.00,16.80,82.40,0.063124
168500,0.00,18.20,80.60,0.062991
169000,0.00,19.20,80.20,0.062861
169500,0.00,17.20,81.60,0.062735
170000,0.00,15.40,83.20,0.062616
170500,0.00,17.80,80.40,0.062490
171000,0.00,21.40,77.40,0.062367
171500,0.00,20.60,78.40,0.062238
172000,0.00,23.40,75.80,0.062113
172500,0.00,18.20,80.80,0.061991
173000,0.00,17.40,81.60,0.061870
173500,0.00,22.20,76.40,0.061746
174000,0.00,15.40,83.40,0.061622
174500,0.00,20.60,78.80,0.061499
175000,0.00,21.00,78.20,0.061381
175500,0.00,17.40,82.00,0.061256
176000,0.00,19.40,79.80,0.061134
176500,0.00,18.00,78.80,0.061003
177000,0.00,17.20,79.80,0.060878
177500,0.00,19.40,75.80,0.060747
178000,0.00,19.60,77.20,0.060619
178500,0.00,20.60,75.80,0.060482
179000,0.00,19.40,76.00,0.060348
179500,0.00,20.20,75.00,0.060216
180000,0.00,18.20,79.40,0.060086
180500,0.00,18.80,77.40,0.059958
181000,0.00,22.40,72.80,0.059827
181500,0.00,20.60,74.40,0.059692
182000,0.00,22.20,74.80,0.059565
182500,0.00,26.80,70.80,0.059432
183000,0.00,24.20,73.40,0.059305
183500,0.00,22.40,75.00,0.059178
184000,0.00,20.60,77.00,0.059052
