Episode,RL_Agent,Bot 80/20,Bot 1/3,Bot Honest,Bot 60/40,Epsilon
92500,0.00,46.80,40.17,77.90,32.53,0.010000
93000,0.00,51.24,39.43,83.65,33.95,0.010000
93500,0.00,55.16,35.71,78.39,32.52,0.010000
94000,0.00,45.04,40.09,80.39,33.47,0.010000
94500,0.00,47.48,37.04,81.67,33.89,0.010000
95000,0.00,49.18,33.48,79.06,33.74,0.010000
95500,0.00,46.06,40.53,84.17,30.58,0.010000
96000,0.00,45.99,40.22,79.66,36.72,0.010000
96500,0.00,46.00,40.77,81.15,32.93,0.010000
97000,0.00,43.98,37.55,81.63,37.55,0.010000
97500,0.00,49.41,40.57,78.40,31.47,0.010000
98000,0.00,49.23,37.63,81.90,33.03,0.010000
98500,0.00,49.01,34.87,81.55,37.15,0.010000
99000,0.00,44.73,37.40,81.71,36.90,0.010000
99500,0.00,50.19,37.11,80.17,33.61,0.010000
100000,0.00,43.38,37.16,79.03,38.34,0.010000
